OPTIC - Optio Protocol Telemetry & Intelligence Center
Address ledger (sent/recv, from/to, amount, fee, running balance)

CWD:          C:\workspace\OPTIC\OPTIC
Config path:  C:\workspace\optic\optic\optic.conf
Config exists:True

OPTIC - Daily Stats Backfill (Block Scanner)
Local data sync initialized at: C:\workspace\OPTIC\OPTIC\odata\optic.db
Scanning blocks from RPC node...
LCD endpoint not available, trying RPC endpoint...
Latest block height: 588561
Starting block scan from block 0...

Γ£ô 2024-11-05 | Blocks: 0 - 1 | Wallets: ? | Active: ? | Txs: ?

  2024-12-15 | Blocks: 2 - 100 | Wallets: 166 | Txs: 33          
  2024-12-15 | Blocks: 2 - 200 | Wallets: 166 | Txs: 33          
  2024-12-15 | Blocks: 2 - 300 | Wallets: 182 | Txs: 70          
  2024-12-15 | Blocks: 2 - 400 | Wallets: 200 | Txs: 121          
  2024-12-15 | Blocks: 2 - 500 | Wallets: 200 | Txs: 121          
  2024-12-15 | Blocks: 2 - 600 | Wallets: 213 | Txs: 132          
  2024-12-15 | Blocks: 2 - 700 | Wallets: 230 | Txs: 151          
  2024-12-15 | Blocks: 2 - 800 | Wallets: 240 | Txs: 169          
  2024-12-15 | Blocks: 2 - 900 | Wallets: 240 | Txs: 169          
  2024-12-15 | Blocks: 2 - 1,000 | Wallets: 240 | Txs: 169          Γ£ô 2024-12-15 | Blocks: 2 - 1,062 | Wallets: 240 | Active: 120 | Txs: 169

  2024-12-16 | Blocks: 1,063 - 1,100 | Wallets: 0 | Txs: 0          
  2024-12-16 | Blocks: 1,063 - 1,200 | Wallets: 0 | Txs: 0          
  2024-12-16 | Blocks: 1,063 - 1,300 | Wallets: 0 | Txs: 0          
  2024-12-16 | Blocks: 1,063 - 1,400 | Wallets: 0 | Txs: 0          
  2024-12-16 | Blocks: 1,063 - 1,500 | Wallets: 0 | Txs: 0          
  2024-12-16 | Blocks: 1,063 - 1,600 | Wallets: 0 | Txs: 0          
  2024-12-16 | Blocks: 1,063 - 1,700 | Wallets: 0 | Txs: 0          
  2024-12-16 | Blocks: 1,063 - 1,800 | Wallets: 0 | Txs: 0          
  2024-12-16 | Blocks: 1,063 - 1,900 | Wallets: 297 | Txs: 495          
  2024-12-16 | Blocks: 1,063 - 2,000 | Wallets: 297 | Txs: 495          
  2024-12-16 | Blocks: 1,063 - 2,100 | Wallets: 297 | Txs: 495          
  2024-12-16 | Blocks: 1,063 - 2,200 | Wallets: 297 | Txs: 495          
  2024-12-16 | Blocks: 1,063 - 2,300 | Wallets: 297 | Txs: 495          
  2024-12-16 | Blocks: 1,063 - 2,400 | Wallets: 297 | Txs: 495          Γ£ô 2024-12-16 | Blocks: 1,063 - 2,478 | Wallets: 297 | Active: 148 | Txs: 495

  2024-12-17 | Blocks: 2,479 - 2,500 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 2,600 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 2,700 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 2,800 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 2,900 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 3,000 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 3,100 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 3,200 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 3,300 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 3,400 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 3,500 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 3,600 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 3,700 | Wallets: 0 | Txs: 0          
  2024-12-17 | Blocks: 2,479 - 3,800 | Wallets: 25 | Txs: 8          Γ£ô 2024-12-17 | Blocks: 2,479 - 3,895 | Wallets: 302 | Active: 151 | Txs: 104

  2024-12-18 | Blocks: 3,896 - 3,900 | Wallets: 0 | Txs: 0          
  2024-12-18 | Blocks: 3,896 - 4,000 | Wallets: 318 | Txs: 333          
  2024-12-18 | Blocks: 3,896 - 4,100 | Wallets: 318 | Txs: 333          
  2024-12-18 | Blocks: 3,896 - 4,200 | Wallets: 318 | Txs: 333          
  2024-12-18 | Blocks: 3,896 - 4,300 | Wallets: 318 | Txs: 333          
  2024-12-18 | Blocks: 3,896 - 4,400 | Wallets: 330 | Txs: 576          
  2024-12-18 | Blocks: 3,896 - 4,500 | Wallets: 354 | Txs: 1,255          
  2024-12-18 | Blocks: 3,896 - 4,600 | Wallets: 362 | Txs: 1,631          
  2024-12-18 | Blocks: 3,896 - 4,700 | Wallets: 362 | Txs: 1,631          
  2024-12-18 | Blocks: 3,896 - 4,800 | Wallets: 362 | Txs: 1,631          
  2024-12-18 | Blocks: 3,896 - 4,900 | Wallets: 362 | Txs: 1,631          
  2024-12-18 | Blocks: 3,896 - 5,000 | Wallets: 362 | Txs: 1,631          
  2024-12-18 | Blocks: 3,896 - 5,100 | Wallets: 362 | Txs: 1,631          
  2024-12-18 | Blocks: 3,896 - 5,200 | Wallets: 362 | Txs: 1,631          
  2024-12-18 | Blocks: 3,896 - 5,300 | Wallets: 362 | Txs: 1,631          Γ£ô 2024-12-18 | Blocks: 3,896 - 5,311 | Wallets: 362 | Active: 181 | Txs: 1,631

  2024-12-19 | Blocks: 5,312 - 5,400 | Wallets: 0 | Txs: 0          
  2024-12-19 | Blocks: 5,312 - 5,500 | Wallets: 0 | Txs: 0          
  2024-12-19 | Blocks: 5,312 - 5,600 | Wallets: 0 | Txs: 0          
  2024-12-19 | Blocks: 5,312 - 5,700 | Wallets: 0 | Txs: 0          
  2024-12-19 | Blocks: 5,312 - 5,800 | Wallets: 0 | Txs: 0          
  2024-12-19 | Blocks: 5,312 - 5,900 | Wallets: 0 | Txs: 0          
  2024-12-19 | Blocks: 5,312 - 6,000 | Wallets: 398 | Txs: 509          
  2024-12-19 | Blocks: 5,312 - 6,100 | Wallets: 399 | Txs: 512          
  2024-12-19 | Blocks: 5,312 - 6,200 | Wallets: 399 | Txs: 512          
  2024-12-19 | Blocks: 5,312 - 6,300 | Wallets: 399 | Txs: 512          
  2024-12-19 | Blocks: 5,312 - 6,400 | Wallets: 399 | Txs: 512          
  2024-12-19 | Blocks: 5,312 - 6,500 | Wallets: 399 | Txs: 512          
  2024-12-19 | Blocks: 5,312 - 6,600 | Wallets: 399 | Txs: 512          
  2024-12-19 | Blocks: 5,312 - 6,700 | Wallets: 399 | Txs: 512          Γ£ô 2024-12-19 | Blocks: 5,312 - 6,728 | Wallets: 399 | Active: 199 | Txs: 512

  2024-12-20 | Blocks: 6,729 - 6,800 | Wallets: 0 | Txs: 0          
  2024-12-20 | Blocks: 6,729 - 6,900 | Wallets: 0 | Txs: 0          
  2024-12-20 | Blocks: 6,729 - 7,000 | Wallets: 0 | Txs: 0          
  2024-12-20 | Blocks: 6,729 - 7,100 | Wallets: 0 | Txs: 0          
  2024-12-20 | Blocks: 6,729 - 7,200 | Wallets: 0 | Txs: 0          
  2024-12-20 | Blocks: 6,729 - 7,300 | Wallets: 0 | Txs: 0          
  2024-12-20 | Blocks: 6,729 - 7,400 | Wallets: 0 | Txs: 0          
  2024-12-20 | Blocks: 6,729 - 7,500 | Wallets: 398 | Txs: 128          
  2024-12-20 | Blocks: 6,729 - 7,600 | Wallets: 494 | Txs: 960          
  2024-12-20 | Blocks: 6,729 - 7,700 | Wallets: 546 | Txs: 1,274          
  2024-12-20 | Blocks: 6,729 - 7,800 | Wallets: 546 | Txs: 1,274          
  2024-12-20 | Blocks: 6,729 - 7,900 | Wallets: 557 | Txs: 1,466          
  2024-12-20 | Blocks: 6,729 - 8,000 | Wallets: 702 | Txs: 2,938          
  2024-12-20 | Blocks: 6,729 - 8,100 | Wallets: 745 | Txs: 2,989          Γ£ô 2024-12-20 | Blocks: 6,729 - 8,144 | Wallets: 741 | Active: 370 | Txs: 2,989

  2024-12-21 | Blocks: 8,145 - 8,200 | Wallets: 0 | Txs: 0          
  2024-12-21 | Blocks: 8,145 - 8,300 | Wallets: 0 | Txs: 0          
  2024-12-21 | Blocks: 8,145 - 8,400 | Wallets: 0 | Txs: 0          
  2024-12-21 | Blocks: 8,145 - 8,500 | Wallets: 0 | Txs: 0          
  2024-12-21 | Blocks: 8,145 - 8,600 | Wallets: 0 | Txs: 0          
  2024-12-21 | Blocks: 8,145 - 8,700 | Wallets: 0 | Txs: 0          
  2024-12-21 | Blocks: 8,145 - 8,800 | Wallets: 684 | Txs: 325          
  2024-12-21 | Blocks: 8,145 - 8,900 | Wallets: 762 | Txs: 1,993          
  2024-12-21 | Blocks: 8,145 - 9,000 | Wallets: 762 | Txs: 2,169          
  2024-12-21 | Blocks: 8,145 - 9,100 | Wallets: 762 | Txs: 2,169          
  2024-12-21 | Blocks: 8,145 - 9,200 | Wallets: 762 | Txs: 2,169          
  2024-12-21 | Blocks: 8,145 - 9,300 | Wallets: 762 | Txs: 2,169          
  2024-12-21 | Blocks: 8,145 - 9,400 | Wallets: 762 | Txs: 2,169          
  2024-12-21 | Blocks: 8,145 - 9,500 | Wallets: 763 | Txs: 2,170          Γ£ô 2024-12-21 | Blocks: 8,145 - 9,560 | Wallets: 762 | Active: 381 | Txs: 2,170

  2024-12-22 | Blocks: 9,561 - 9,600 | Wallets: 0 | Txs: 0          
  2024-12-22 | Blocks: 9,561 - 9,700 | Wallets: 0 | Txs: 0          
  2024-12-22 | Blocks: 9,561 - 9,800 | Wallets: 0 | Txs: 0          
  2024-12-22 | Blocks: 9,561 - 9,900 | Wallets: 0 | Txs: 0          
  2024-12-22 | Blocks: 9,561 - 10,000 | Wallets: 0 | Txs: 0          
  2024-12-22 | Blocks: 9,561 - 10,100 | Wallets: 0 | Txs: 0          
  2024-12-22 | Blocks: 9,561 - 10,200 | Wallets: 4 | Txs: 3          
  2024-12-22 | Blocks: 9,561 - 10,300 | Wallets: 4 | Txs: 3          
  2024-12-22 | Blocks: 9,561 - 10,400 | Wallets: 5 | Txs: 4          
  2024-12-22 | Blocks: 9,561 - 10,500 | Wallets: 8 | Txs: 6          
  2024-12-22 | Blocks: 9,561 - 10,600 | Wallets: 8 | Txs: 6          
  2024-12-22 | Blocks: 9,561 - 10,700 | Wallets: 8 | Txs: 6          
  2024-12-22 | Blocks: 9,561 - 10,800 | Wallets: 8 | Txs: 6          
  2024-12-22 | Blocks: 9,561 - 10,900 | Wallets: 9 | Txs: 7          Γ£ô 2024-12-22 | Blocks: 9,561 - 10,977 | Wallets: 9 | Active: 4 | Txs: 7

  2024-12-23 | Blocks: 10,978 - 11,000 | Wallets: 0 | Txs: 0          
  2024-12-23 | Blocks: 10,978 - 11,100 | Wallets: 0 | Txs: 0          
  2024-12-23 | Blocks: 10,978 - 11,200 | Wallets: 0 | Txs: 0          
  2024-12-23 | Blocks: 10,978 - 11,300 | Wallets: 0 | Txs: 0          
  2024-12-23 | Blocks: 10,978 - 11,400 | Wallets: 0 | Txs: 0          
  2024-12-23 | Blocks: 10,978 - 11,500 | Wallets: 0 | Txs: 0          
  2024-12-23 | Blocks: 10,978 - 11,600 | Wallets: 2 | Txs: 1          
  2024-12-23 | Blocks: 10,978 - 11,700 | Wallets: 2 | Txs: 1          
  2024-12-23 | Blocks: 10,978 - 11,800 | Wallets: 2 | Txs: 1          
  2024-12-23 | Blocks: 10,978 - 11,900 | Wallets: 4 | Txs: 2          
  2024-12-23 | Blocks: 10,978 - 12,000 | Wallets: 6 | Txs: 3          
  2024-12-23 | Blocks: 10,978 - 12,100 | Wallets: 7 | Txs: 4          
  2024-12-23 | Blocks: 10,978 - 12,200 | Wallets: 7 | Txs: 4          
  2024-12-23 | Blocks: 10,978 - 12,300 | Wallets: 7 | Txs: 4          Γ£ô 2024-12-23 | Blocks: 10,978 - 12,393 | Wallets: 7 | Active: 3 | Txs: 4

  2024-12-24 | Blocks: 12,394 - 12,400 | Wallets: 0 | Txs: 0          
  2024-12-24 | Blocks: 12,394 - 12,500 | Wallets: 0 | Txs: 0          
  2024-12-24 | Blocks: 12,394 - 12,600 | Wallets: 0 | Txs: 0          
  2024-12-24 | Blocks: 12,394 - 12,700 | Wallets: 0 | Txs: 0          
  2024-12-24 | Blocks: 12,394 - 12,800 | Wallets: 0 | Txs: 0          
  2024-12-24 | Blocks: 12,394 - 12,900 | Wallets: 0 | Txs: 0          
  2024-12-24 | Blocks: 12,394 - 13,000 | Wallets: 2 | Txs: 1          
  2024-12-24 | Blocks: 12,394 - 13,100 | Wallets: 3 | Txs: 2          
  2024-12-24 | Blocks: 12,394 - 13,200 | Wallets: 3 | Txs: 2          
  2024-12-24 | Blocks: 12,394 - 13,300 | Wallets: 3 | Txs: 2          
  2024-12-24 | Blocks: 12,394 - 13,400 | Wallets: 3 | Txs: 2          
  2024-12-24 | Blocks: 12,394 - 13,500 | Wallets: 3 | Txs: 2          
  2024-12-24 | Blocks: 12,394 - 13,600 | Wallets: 3 | Txs: 2          
  2024-12-24 | Blocks: 12,394 - 13,700 | Wallets: 3 | Txs: 2          
  2024-12-24 | Blocks: 12,394 - 13,800 | Wallets: 3 | Txs: 2          Γ£ô 2024-12-24 | Blocks: 12,394 - 13,810 | Wallets: 3 | Active: 1 | Txs: 2

  2024-12-25 | Blocks: 13,811 - 13,900 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,000 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,100 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,200 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,300 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,400 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,500 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,600 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,700 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,800 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 14,900 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 15,000 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 15,100 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 15,200 | Wallets: 2 | Txs: 1          Γ£ô 2024-12-25 | Blocks: 13,811 - 15,226 | Wallets: 2 | Active: 1 | Txs: 1

  2024-12-26 | Blocks: 15,227 - 15,300 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 15,400 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 15,500 | Wallets: 0 | Txs: 0          
